1/1/2011	1391	1158	1201
1/2/2011	1379	1439	1015
1/3/2011	1026	1288	1282
1/4/2011	1497	1063	1089
1/5/2011	1153	1107	1051
1/6/2011	1367	1351	1037
1/7/2011	1243	1079	1139
1/8/2011	1445	1187	1174
1/9/2011	1495	1095	1192
1/10/2011	1031	1441	1277
1/11/2011	1061	1312	1122
1/12/2011	1231	1382	1437
1/13/2011	1069	1018	1180
1/14/2011	1309	1358	1425
1/15/2011	1161	1376	1017
1/16/2011	1250	1401	1198
1/17/2011	1235	1341	1114
1/18/2011	1345	1089	1158
1/19/2011	1487	1110	1382
1/20/2011	1308	1165	1453
1/21/2011	1326	1058	1140
1/22/2011	1021	1176	1085
1/23/2011	1219	1190	1233
1/24/2011	1345	1057	1300
1/25/2011	1283	1491	1273
1/26/2011	1435	1483	1298
1/27/2011	1097	1102	1022
1/28/2011	1222	1218	1485
1/29/2011	1270	1108	1180
1/30/2011	1339	1372	1499
1/31/2011	1435	1181	1235
2/1/2011	1075	1001	1367
2/2/2011	1305	1269	1299
2/3/2011	1117	1131	1076
2/4/2011	1099	1248	1209
2/5/2011	1088	1220	1492
2/6/2011	1248	1386	1329
2/7/2011	1401	1161	1413
2/8/2011	1473	1413	1396
2/9/2011	1124	1483	1476
2/10/2011	1027	1416	1008
2/11/2011	1156	1047	1049
2/12/2011	1156	1460	1034
2/13/2011	1477	1376	1216
2/14/2011	1066	1464	1192
2/15/2011	1311	1054	1108
2/16/2011	1183	1261	1190
2/17/2011	1039	1419	1153
2/18/2011	1369	1248	1309
2/19/2011	1235	1341	1108
2/20/2011	1380	1492	1378
2/21/2011	1404	1253	1311
2/22/2011	1014	1250	1450
2/23/2011	1111	1092	1468
2/24/2011	1018	1034	1049
2/25/2011	1356	1007	1300
2/26/2011	1402	1024	1306
2/27/2011	1403	1382	1339
2/28/2011	1200	1484	1148
3/1/2011	1416	1109	1323
3/2/2011	1274	1033	1445
3/3/2011	1359	1158	1132
3/4/2011	1266	1377	1416
3/5/2011	1145	1068	1386
3/6/2011	1369	1443	1394
3/7/2011	1378	1088	1238
3/8/2011	1497	1371	1093
3/9/2011	1341	1127	1460
3/10/2011	1063	1464	1351
3/11/2011	1460	1013	1452
3/12/2011	1435	1060	1241
3/13/2011	1259	1414	1473
3/14/2011	1308	1270	1076
3/15/2011	1281	1295	1419
3/16/2011	1041	1450	1081
3/17/2011	1005	1215	1240
3/18/2011	1043	1184	1419
3/19/2011	1003	1084	1415
3/20/2011	1408	1160	1015
3/21/2011	1446	1419	1151
3/22/2011	1207	1382	1395
3/23/2011	1432	1262	1139
3/24/2011	1097	1396	1097
3/25/2011	1012	1086	1287
3/26/2011	1472	1476	1300
3/27/2011	1402	1058	1168
3/28/2011	1180	1205	1161
3/29/2011	1403	1382	1384
3/30/2011	1215	1324	1348
3/31/2011	1462	1270	1385
4/1/2011	1080	1342	1274
4/2/2011	1123	1060	1075
4/3/2011	1494	1266	1496
4/4/2011	1050	1177	1019
4/5/2011	1387	1301	1488
4/6/2011	1382	1078	1088
4/7/2011	1377	1100	1275
4/8/2011	1336	1245	1404
4/9/2011	1102	1345	1124
4/10/2011	1100	1196	1357
4/11/2011	1061	1141	1106
4/12/2011	1203	1491	1427
4/13/2011	1041	1018	1398
4/14/2011	1099	1314	1469
4/15/2011	1457	1468	1064
4/16/2011	1370	1045	1305
4/17/2011	1391	1274	1474
4/18/2011	1369	1328	1361
4/19/2011	1259	1049	1323
4/20/2011	1053	1275	1448
4/21/2011	1022	1275	1241
4/22/2011	1308	1095	1174
4/23/2011	1385	1409	1062
4/24/2011	1102	1407	1289
4/25/2011	1140	1278	1443
4/26/2011	1473	1353	1204
4/27/2011	1084	1132	1053
4/28/2011	1033	1124	1404
4/29/2011	1243	1134	1440
4/30/2011	1294	1211	1147
5/1/2011	1047	1254	1082
5/2/2011	1016	1254	1415
5/3/2011	1429	1009	1283
5/4/2011	1309	1288	1281
5/5/2011	1073	1175	1437
5/6/2011	1109	1311	1062
5/7/2011	1338	1394	1317
5/8/2011	1320	1188	1486
5/9/2011	1432	1108	1434
5/10/2011	1012	1389	1009
5/11/2011	1430	1153	1189
5/12/2011	1008	1406	1138
5/13/2011	1069	1412	1477
5/14/2011	1042	1251	1390
5/15/2011	1245	1326	1280
5/16/2011	1011	1356	1380
5/17/2011	1177	1010	1480
5/18/2011	1220	1037	1447
5/19/2011	1372	1200	1045
5/20/2011	1187	1263	1028
5/21/2011	1343	1499	1344
5/22/2011	1045	1232	1309
5/23/2011	1144	1340	1047
5/24/2011	1405	1040	1214
5/25/2011	1177	1028	1260
5/26/2011	1323	1371	1282
5/27/2011	1360	1030	1162
5/28/2011	1108	1415	1152
5/29/2011	1402	1387	1261
5/30/2011	1197	1249	1302
5/31/2011	1201	1325	1058
6/1/2011	1275	1034	1452
6/2/2011	1349	1340	1439
6/3/2011	1379	1366	1473
6/4/2011	1059	1320	1443
6/5/2011	1388	1192	1271
6/6/2011	1381	1191	1244
6/7/2011	1194	1327	1274
6/8/2011	1322	1230	1424
6/9/2011	1268	1015	1122
6/10/2011	1057	1002	1493
6/11/2011	1080	1367	1159
6/12/2011	1293	1199	1198
6/13/2011	1366	1143	1500
6/14/2011	1123	1132	1402
6/15/2011	1367	1326	1114
6/16/2011	1429	1254	1481
